Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ConsultarConsolidadoFactura,,,,2022-08-30 16:19:31,2022-08-30 16:20:28,"56,806s",ERROR
,,,,,,,
Test Cases/Elimina_archivo,,,,2022-08-30 16:19:32,2022-08-30 16:19:35,"3,478s",PASSED
elimina = new almacena_datos_servicio.Elimina_archivo(),,,,2022-08-30 16:19:33,2022-08-30 16:19:33,"0,031s",PASSED
elimina.deleteFile(ruta_arch_salida),,,,2022-08-30 16:19:33,2022-08-30 16:19:35,"2,320s",PASSED
,,,,,,,
Test Cases/Login,,,,2022-08-30 16:19:35,2022-08-30 16:19:43,"7,564s",PASSED
"response = sendRequestAndVerify(findTestObject(""miFactura_Mareigua-ConsultarFactura/Login"", [""Login"":Login, ""password"":password]))",,,,2022-08-30 16:19:36,2022-08-30 16:19:42,"6,083s",PASSED
jsonString = response.getResponseText(),,,,2022-08-30 16:19:42,2022-08-30 16:19:42,"0,063s",PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-08-30 16:19:42,2022-08-30 16:19:42,"0,040s",PASSED
"markWarning(""JSON "" + jsonString)",,,,2022-08-30 16:19:42,2022-08-30 16:19:43,"0,072s",PASSED
parsedJson = slurper.parseText(jsonString),,,,2022-08-30 16:19:43,2022-08-30 16:19:43,"0,068s",PASSED
almacena_datos_servicio.Val_mensaje_serv.val_login(parsedJson),,,,2022-08-30 16:19:43,2022-08-30 16:19:43,"0,092s",PASSED
,,,,,,,
Test Cases/ConsultarConsolidado_Factura,,,,2022-08-30 16:19:43,2022-08-30 16:19:48,"4,680s",PASSED
grabar = new almacena_datos_servicio.Graba_archivo(),,,,2022-08-30 16:19:44,2022-08-30 16:19:44,"0,019s",PASSED
regis = Integer.parseInt(registro),,,,2022-08-30 16:19:44,2022-08-30 16:19:44,"0,005s",PASSED
"response = sendRequestAndVerify(findTestObject(""miFactura_Mareigua-ConsultarFactura/ConsultarConsolidado_Factura"", [""TipoIdentificacion"":TipoIdentificacion, ""NumeroIdentificacion"":NumeroIdentificacion, ""token"":token]))",,,,2022-08-30 16:19:44,2022-08-30 16:19:45,"0,983s",PASSED
val_time = response.getElapsedTime(),,,,2022-08-30 16:19:45,2022-08-30 16:19:45,"0,004s",PASSED
status = response.getStatusCode(),,,,2022-08-30 16:19:45,2022-08-30 16:19:45,"0,003s",PASSED
jsonString = response.getResponseText(),,,,2022-08-30 16:19:45,2022-08-30 16:19:45,"0,001s",PASSED
"salida_json = jsonString.replaceAll(""
"", """")",,,,2022-08-30 16:19:45,2022-08-30 16:19:45,"0,006s",PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-08-30 16:19:45,2022-08-30 16:19:45,"0,001s",PASSED
"grabar.create_Add(regis + "" - "" + jsonString, ruta_arch_salida)",,,,2022-08-30 16:19:45,2022-08-30 16:19:45,"0,047s",PASSED
parsedJson = slurper.parseText(jsonString),,,,2022-08-30 16:19:45,2022-08-30 16:19:45,"0,009s",PASSED
"nom_func = ""val_mens_serv_report""",,,,2022-08-30 16:19:45,2022-08-30 16:19:45,"0,001s",PASSED
println(jsonString),,,,2022-08-30 16:19:45,2022-08-30 16:19:45,"0,008s",PASSED
"almacena_datos_servicio.Val_mensaje_serv.valida_consulta_id_serv_report(parsedJson, val_consulta_id)",,,,2022-08-30 16:19:45,2022-08-30 16:19:45,"0,023s",PASSED
almacena_datos_servicio.Val_mensaje_serv.guarda_salida_consultar_factura(),,,,2022-08-30 16:19:45,2022-08-30 16:19:48,"2,875s",PASSED
,,,,,,,
Test Cases/ConsultarConsolidado_Factura,,,,2022-08-30 16:19:48,2022-08-30 16:19:50,"1,839s",PASSED
grabar = new almacena_datos_servicio.Graba_archivo(),,,,2022-08-30 16:19:48,2022-08-30 16:19:48,"0,002s",PASSED
regis = Integer.parseInt(registro),,,,2022-08-30 16:19:48,2022-08-30 16:19:48,"0,007s",PASSED
"response = sendRequestAndVerify(findTestObject(""miFactura_Mareigua-ConsultarFactura/ConsultarConsolidado_Factura"", [""TipoIdentificacion"":TipoIdentificacion, ""NumeroIdentificacion"":NumeroIdentificacion, ""token"":token]))",,,,2022-08-30 16:19:48,2022-08-30 16:19:49,"1,292s",PASSED
val_time = response.getElapsedTime(),,,,2022-08-30 16:19:49,2022-08-30 16:19:49,"0,015s",PASSED
status = response.getStatusCode(),,,,2022-08-30 16:19:49,2022-08-30 16:19:49,"0,000s",PASSED
jsonString = response.getResponseText(),,,,2022-08-30 16:19:49,2022-08-30 16:19:49,"0,000s",PASSED
"salida_json = jsonString.replaceAll(""
"", """")",,,,2022-08-30 16:19:49,2022-08-30 16:19:49,"0,000s",PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-08-30 16:19:49,2022-08-30 16:19:49,"0,000s",PASSED
"grabar.create_Add(regis + "" - "" + jsonString, ruta_arch_salida)",,,,2022-08-30 16:19:49,2022-08-30 16:19:49,"0,000s",PASSED
parsedJson = slurper.parseText(jsonString),,,,2022-08-30 16:19:50,2022-08-30 16:19:50,"0,002s",PASSED
"nom_func = ""val_mens_serv_report""",,,,2022-08-30 16:19:50,2022-08-30 16:19:50,"0,003s",PASSED
println(jsonString),,,,2022-08-30 16:19:50,2022-08-30 16:19:50,"0,003s",PASSED
"almacena_datos_servicio.Val_mensaje_serv.valida_consulta_id_serv_report(parsedJson, val_consulta_id)",,,,2022-08-30 16:19:50,2022-08-30 16:19:50,"0,000s",PASSED
almacena_datos_servicio.Val_mensaje_serv.guarda_salida_consultar_factura(),,,,2022-08-30 16:19:50,2022-08-30 16:19:50,"0,341s",PASSED
,,,,,,,
Test Cases/ConsultarConsolidado_Factura,,,,2022-08-30 16:19:50,2022-08-30 16:19:52,"2,352s",PASSED
grabar = new almacena_datos_servicio.Graba_archivo(),,,,2022-08-30 16:19:50,2022-08-30 16:19:50,"0,004s",PASSED
regis = Integer.parseInt(registro),,,,2022-08-30 16:19:50,2022-08-30 16:19:50,"0,002s",PASSED
"response = sendRequestAndVerify(findTestObject(""miFactura_Mareigua-ConsultarFactura/ConsultarConsolidado_Factura"", [""TipoIdentificacion"":TipoIdentificacion, ""NumeroIdentificacion"":NumeroIdentificacion, ""token"":token]))",,,,2022-08-30 16:19:50,2022-08-30 16:19:52,"1,946s",PASSED
val_time = response.getElapsedTime(),,,,2022-08-30 16:19:52,2022-08-30 16:19:52,"0,002s",PASSED
status = response.getStatusCode(),,,,2022-08-30 16:19:52,2022-08-30 16:19:52,"0,002s",PASSED
jsonString = response.getResponseText(),,,,2022-08-30 16:19:52,2022-08-30 16:19:52,"0,004s",PASSED
"salida_json = jsonString.replaceAll(""
"", """")",,,,2022-08-30 16:19:52,2022-08-30 16:19:52,"0,002s",PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-08-30 16:19:52,2022-08-30 16:19:52,"0,002s",PASSED
"grabar.create_Add(regis + "" - "" + jsonString, ruta_arch_salida)",,,,2022-08-30 16:19:52,2022-08-30 16:19:52,"0,002s",PASSED
parsedJson = slurper.parseText(jsonString),,,,2022-08-30 16:19:52,2022-08-30 16:19:52,"0,002s",PASSED
"nom_func = ""val_mens_serv_report""",,,,2022-08-30 16:19:52,2022-08-30 16:19:52,"0,000s",PASSED
println(jsonString),,,,2022-08-30 16:19:52,2022-08-30 16:19:52,"0,001s",PASSED
"almacena_datos_servicio.Val_mensaje_serv.valida_consulta_id_serv_report(parsedJson, val_consulta_id)",,,,2022-08-30 16:19:52,2022-08-30 16:19:52,"0,003s",PASSED
almacena_datos_servicio.Val_mensaje_serv.guarda_salida_consultar_factura(),,,,2022-08-30 16:19:52,2022-08-30 16:19:52,"0,199s",PASSED
,,,,,,,
Test Cases/ConsultarConsolidado_Factura,,,,2022-08-30 16:19:53,2022-08-30 16:19:56,"2,944s",PASSED
grabar = new almacena_datos_servicio.Graba_archivo(),,,,2022-08-30 16:19:53,2022-08-30 16:19:53,"0,002s",PASSED
regis = Integer.parseInt(registro),,,,2022-08-30 16:19:53,2022-08-30 16:19:53,"0,000s",PASSED
"response = sendRequestAndVerify(findTestObject(""miFactura_Mareigua-ConsultarFactura/ConsultarConsolidado_Factura"", [""TipoIdentificacion"":TipoIdentificacion, ""NumeroIdentificacion"":NumeroIdentificacion, ""token"":token]))",,,,2022-08-30 16:19:53,2022-08-30 16:19:54,"1,232s",PASSED
val_time = response.getElapsedTime(),,,,2022-08-30 16:19:54,2022-08-30 16:19:54,"0,002s",PASSED
status = response.getStatusCode(),,,,2022-08-30 16:19:54,2022-08-30 16:19:54,"0,001s",PASSED
jsonString = response.getResponseText(),,,,2022-08-30 16:19:54,2022-08-30 16:19:54,"0,001s",PASSED
"salida_json = jsonString.replaceAll(""
"", """")",,,,2022-08-30 16:19:54,2022-08-30 16:19:54,"0,000s",PASSED
slurper = new groovy.json.JsonSlurper(),,,,2022-08-30 16:19:54,2022-08-30 16:19:54,"0,001s",PASSED
"grabar.create_Add(regis + "" - "" + jsonString, ruta_arch_salida)",,,,2022-08-30 16:19:54,2022-08-30 16:19:54,"0,002s",PASSED
parsedJson = slurper.parseText(jsonString),,,,2022-08-30 16:19:54,2022-08-30 16:19:54,"0,003s",PASSED
